"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"63","594","25","6","6","167","2026-6-25 14:04:04","2026-6-25 14:04:04"
"64","860","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"65","1002","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"66","1066","11","2","7","100","2026-6-25 14:04:04","2026-6-25 14:04:04"
"67","437","11","2","7","100","2026-6-25 14:04:04","2026-6-25 14:04:04"
"68","922","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"69","123","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"70","840","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"71","681","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"72","932","30","4","7","75","2026-6-25 14:04:04","2026-6-25 14:04:04"
"73","921","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"74","1011","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"75","961","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"76","869","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"77","1013","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"78","965","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"79","910","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"80","974","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"81","937","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"82","944","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"83","1006","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"84","900","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"85","1068","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"86","504","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"87","347","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"88","1070","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"89","1017","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"90","1071","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"91","1072","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"92","1073","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"93","1074","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"94","1075","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"95","913","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"96","997","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"97","1078","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"98","1079","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"99","1080","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"100","1082","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"101","1083","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"102","937","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"103","1085","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"104","1086","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"105","1086","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"106","1087","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"107","1083","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"108","853","10","1","7","80","2026-6-25 14:04:04","2026-6-25 14:04:04"
"109","980","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"110","1088","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"111","1085","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"112","1089","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"113","1063","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"114","1081","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"115","1036","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"116","905","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
